age,job,marital,education,balance,housing,loan,contact,day,month,duration,campaign,pdays,y
42,6,1,3,271,1,0,1,4,8,101,0,0,0
21,10,1,2,190,1,0,1,4,8,203,0,0,0
28,4,1,3,419,1,0,1,4,8,197,0,0,0
35,1,1,1,280,0,0,1,4,8,124,0,0,0
34,1,1,1,318,1,0,1,4,8,229,0,0,0
41,1,1,1,369,1,0,1,4,8,55,2,0,0
9,10,2,3,190,1,0,1,4,8,400,0,0,0
26,1,1,2,244,1,0,1,4,8,197,0,0,0
29,10,1,3,341,1,0,1,4,8,190,0,0,0
16,0,1,2,251,0,1,1,4,8,21,0,0,0
41,6,2,2,220,1,0,1,4,8,514,0,0,0
27,4,1,3,713,1,0,1,4,8,846,1,0,0
11,8,0,2,221,1,0,1,4,8,194,0,0,0
28,10,0,2,269,0,0,1,4,8,144,0,0,0
38,7,1,1,156,1,1,1,4,8,212,1,0,0
18,1,1,1,638,1,0,1,4,8,286,0,0,0
41,6,0,1,271,1,0,1,4,8,107,0,0,0
26,1,1,2,334,1,0,1,4,8,247,1,0,0
23,0,1,2,541,1,0,1,4,8,518,0,0,0
15,4,2,3,123,1,0,1,4,8,364,0,0,0
41,4,0,3,452,0,0,1,4,8,178,0,0,0
39,10,1,1,190,0,0,1,4,8,98,0,0,0
38,10,0,0,246,1,0,1,4,8,439,0,0,0
33,1,1,2,216,1,0,1,4,8,79,0,0,0
16,0,1,0,193,1,0,1,4,8,120,2,0,0
25,8,1,2,231,1,1,1,4,8,127,1,0,0
34,10,1,3,197,0,1,1,4,8,175,0,0,0
15,10,2,2,295,1,0,1,4,8,262,1,0,0
11,0,2,2,1008,1,1,1,4,8,61,0,0,0
16,8,1,2,174,1,1,1,4,8,78,0,0,0
13,1,1,2,190,1,0,1,4,8,143,0,0,0
37,8,1,2,2618,1,0,1,4,8,579,0,0,1
37,4,1,0,1375,0,0,1,4,8,677,0,0,0
14,0,2,2,407,1,0,1,4,8,345,0,0,0
20,10,2,2,1869,1,0,1,4,8,185,0,0,0
37,0,2,2,992,1,1,1,4,8,100,1,0,0
10,11,2,3,190,1,0,1,4,8,125,1,0,0
5,1,1,2,284,1,0,1,4,8,193,0,0,0
14,10,2,2,190,1,0,1,4,8,136,0,0,0
25,8,2,0,190,0,0,1,4,8,73,0,0,0
14,1,1,2,707,1,0,1,4,8,528,0,0,0
28,1,1,2,455,1,0,1,4,8,541,0,0,0
35,3,0,1,1137,1,0,1,4,8,163,0,0,0
16,7,2,2,193,1,0,1,4,8,301,0,0,0
39,11,1,3,232,0,0,1,4,8,46,0,0,0
19,1,1,2,227,1,0,1,4,8,204,0,0,0
41,1,1,2,247,1,0,1,4,8,98,0,0,0
15,8,1,2,212,1,0,1,4,8,71,0,0,0
38,1,0,1,198,1,0,1,4,8,157,1,0,0
30,11,1,2,483,1,0,1,4,8,243,0,0,0
25,8,1,1,193,1,0,1,4,8,186,1,0,0
36,1,1,1,538,1,0,1,4,8,579,1,0,0
33,1,1,0,171,1,0,1,4,8,163,1,0,0
8,9,2,2,190,1,0,1,4,8,610,1,0,0
22,4,1,3,186,1,0,1,4,8,1492,0,0,0
21,4,1,2,208,1,0,1,4,8,85,0,0,0
32,10,1,1,329,0,0,1,4,8,114,1,0,0
23,8,1,2,190,1,0,1,4,8,114,1,0,0
33,1,1,0,2061,1,0,1,4,8,57,0,0,0
42,6,0,2,406,1,0,1,4,8,238,0,0,0
34,1,1,2,972,1,0,1,4,8,93,2,0,0
30,1,1,2,1094,1,0,1,4,8,128,1,0,0
30,8,1,0,1889,1,0,1,4,8,107,0,0,0
21,10,2,3,237,1,0,1,4,8,181,0,0,0
29,8,2,2,366,1,0,1,4,8,303,1,0,0
22,1,1,2,1415,1,0,1,4,8,558,4,0,0
27,10,1,2,276,1,0,1,4,8,270,0,0,0
8,0,2,2,272,1,0,1,4,8,228,0,0,0
34,4,1,3,461,1,0,1,4,8,99,0,0,0
36,10,1,2,1568,1,0,1,4,8,240,0,0,0
36,0,1,3,374,0,0,1,4,8,673,1,0,1
32,1,1,1,190,0,0,1,4,8,233,2,0,0
17,1,1,2,190,1,0,1,4,8,1045,0,0,0
26,8,1,2,1547,1,1,1,4,8,250,0,0,0
35,2,1,0,209,1,0,1,4,8,252,0,0,0
17,6,2,1,624,0,0,1,4,8,138,0,0,0
42,0,0,2,282,1,0,1,4,8,130,0,0,0
35,0,0,2,1341,1,0,1,4,8,412,0,0,0
30,11,1,2,231,1,0,1,4,8,179,1,0,0
16,10,1,2,241,1,0,1,4,8,19,1,0,0
36,8,1,2,404,1,0,1,4,8,458,1,0,0
33,4,1,2,1351,1,0,1,4,8,717,0,0,0
13,8,1,3,227,1,0,1,4,8,313,0,0,0
17,10,0,2,977,1,0,1,4,8,683,1,0,0
17,8,1,2,249,1,0,1,4,8,1063,0,0,0
20,10,1,2,443,1,0,1,4,8,416,0,0,0
18,0,1,3,401,1,0,1,4,8,146,1,0,0
40,6,1,1,425,1,0,1,4,8,167,0,0,0
22,8,0,0,4055,1,0,1,4,8,315,0,0,0
36,4,1,2,3873,0,0,1,4,8,140,0,0,0
16,1,2,2,243,1,1,1,4,8,346,0,0,0
13,4,2,3,190,1,0,1,4,8,562,0,0,0
33,6,1,2,2295,1,0,1,4,8,172,0,0,0
15,4,1,3,567,1,0,1,4,8,217,0,0,0
37,4,1,3,263,1,0,1,4,8,142,1,0,0
24,0,1,2,635,1,0,1,4,8,67,0,0,0
16,1,1,2,433,1,0,1,4,8,291,0,0,0
15,1,2,2,497,1,0,1,4,8,309,1,0,0
20,8,1,2,345,1,0,1,4,8,248,0,0,0
32,10,0,3,363,0,1,1,4,8,98,0,0,0
25,4,1,3,590,1,0,1,4,8,256,0,0,0
43,1,0,1,1618,1,0,1,4,8,82,1,0,0
29,0,1,2,409,1,0,1,4,8,577,0,0,0
30,7,1,3,197,1,0,1,4,8,286,0,0,0
26,1,1,2,765,1,0,1,4,8,477,0,0,0
17,9,2,0,488,1,0,1,4,8,611,1,0,0
17,8,1,2,190,1,0,1,4,8,471,0,0,0
32,8,1,2,4721,1,0,1,4,8,381,1,0,0
23,4,1,3,366,1,1,1,4,8,42,0,0,0
23,4,1,3,707,1,0,1,4,8,251,0,0,0
21,8,2,0,447,1,0,1,4,8,408,0,0,0
24,6,1,2,246,1,0,1,4,8,215,0,0,0
35,6,1,2,520,1,0,1,4,8,216,1,0,0
41,3,0,1,385,0,0,1,4,8,366,1,0,0
18,8,1,2,491,1,0,1,4,8,210,0,0,0
36,1,1,1,149,1,0,1,4,8,288,0,0,0
22,10,1,3,673,1,0,1,4,8,168,0,0,0
29,5,1,0,218,0,0,1,4,8,338,1,0,0
35,11,1,0,203,0,0,1,4,8,410,2,0,0
28,3,1,1,1155,0,0,1,4,8,177,0,0,0
21,4,1,3,568,1,1,1,4,8,127,1,0,0
22,11,1,2,409,1,0,1,4,8,357,0,0,0
10,1,1,1,514,1,0,1,4,8,175,0,0,0
17,2,0,2,121,1,0,1,4,8,300,0,0,0
37,6,1,2,190,0,1,1,4,8,136,0,0,0
25,10,0,0,395,1,0,1,4,8,1315,0,0,0
30,1,1,1,468,1,0,1,4,8,125,1,0,0
40,4,1,0,1255,1,0,1,4,8,213,2,0,0
15,4,2,3,224,1,0,1,4,8,27,0,0,0
18,1,1,0,1223,0,0,1,4,8,238,1,0,0
35,8,0,2,1657,1,0,1,4,8,124,0,0,0
29,1,1,1,178,1,0,1,4,8,18,0,0,0
13,8,1,2,578,1,0,1,4,8,730,1,0,0
39,2,1,2,484,1,0,1,4,8,746,1,0,0
35,1,1,0,2006,0,0,1,4,8,121,0,0,0
37,1,1,1,817,1,0,1,4,8,247,0,0,0
27,1,1,1,215,1,0,1,4,8,40,0,0,0
35,0,0,2,505,1,0,1,4,8,181,1,0,0
19,1,1,1,190,1,0,1,4,8,79,0,0,0
26,0,0,2,256,1,0,1,4,8,206,0,0,0
31,1,0,1,181,1,1,1,4,8,389,0,0,0
28,10,1,2,539,1,1,1,4,8,127,0,0,0
25,2,1,0,290,1,0,1,4,8,702,0,0,0
20,0,1,2,190,0,0,1,4,8,151,0,0,0
25,10,1,2,624,1,0,1,4,8,117,0,0,0
31,4,1,3,3269,1,0,1,4,8,232,2,0,0
24,4,1,0,465,0,0,1,4,8,408,1,0,0
4,1,2,2,190,1,0,1,4,8,179,1,0,0
22,4,1,3,397,1,0,1,4,8,39,0,0,0
21,1,1,2,673,1,0,1,4,8,282,0,0,0
33,8,1,2,2410,1,0,1,4,8,714,1,0,0
31,0,1,2,618,1,0,1,4,8,50,0,0,0
35,1,1,2,190,1,1,1,4,8,181,0,0,0
16,8,2,2,190,1,0,1,4,8,142,0,0,0
15,10,0,2,330,1,0,1,4,8,227,0,0,0
32,4,2,3,487,1,0,1,4,8,119,0,0,0
21,1,1,1,469,1,0,1,4,8,361,0,0,0
41,2,0,2,1091,1,0,1,4,8,73,2,0,0
12,10,2,2,2704,1,0,1,4,8,67,1,0,0
18,8,1,2,333,1,1,1,4,8,350,0,0,0
22,1,1,2,665,1,0,1,4,8,332,1,0,0
35,1,1,2,260,1,0,1,4,8,611,1,0,0
16,4,2,3,508,1,0,1,4,8,113,1,0,0
19,10,1,2,465,1,0,1,4,8,132,0,0,0
24,4,0,3,932,1,0,1,4,8,58,2,0,0
23,2,1,1,426,1,0,1,4,8,151,0,0,0
12,9,2,3,215,1,0,1,4,8,89,1,0,0
19,4,2,3,790,1,0,1,4,8,152,0,0,0
23,1,1,1,373,1,1,1,4,8,110,1,0,0
22,1,1,1,190,1,0,1,4,8,463,0,0,0
24,4,2,3,190,1,1,1,4,8,562,1,0,1
22,1,0,1,190,1,0,1,4,8,957,0,0,0
39,10,1,2,1268,1,0,1,4,8,10,3,0,0
38,2,0,2,345,0,0,1,4,8,118,2,0,0
19,0,1,2,380,1,0,1,4,8,92,1,0,0
41,6,1,2,509,1,0,1,4,8,143,2,0,0
21,8,0,2,5,1,0,1,4,8,189,2,0,0
31,8,1,2,237,0,0,1,4,8,234,1,0,0
20,8,2,2,760,1,0,1,4,8,75,1,0,0
18,7,1,3,209,0,0,1,4,8,189,1,0,0
32,1,1,1,251,1,0,1,4,8,621,2,0,0
23,0,1,2,128,1,1,1,4,8,55,1,0,0
36,10,1,3,448,0,0,1,4,8,310,3,0,0
40,1,1,1,266,1,0,1,4,8,156,1,0,0
12,1,2,2,190,1,0,1,4,8,5,1,0,0
15,0,2,2,542,1,0,1,4,8,225,1,0,0
29,0,1,2,558,1,0,1,4,8,125,1,0,0
32,10,2,3,529,1,0,1,4,8,2,2,0,0
14,1,1,2,1521,1,0,1,4,8,286,1,0,0
22,7,1,2,862,1,0,1,4,8,164,1,0,0
19,4,1,3,248,1,0,1,4,8,98,1,0,0
36,10,2,0,637,1,0,1,4,8,742,1,0,0
6,9,2,2,613,1,0,1,4,8,226,2,0,0
36,4,1,3,190,0,0,1,4,8,120,1,0,0
16,10,1,2,209,1,0,1,4,8,362,3,0,0
38,10,0,1,203,1,0,1,4,8,357,1,0,0
13,1,2,2,193,1,0,1,4,8,200,1,0,0
6,9,2,2,272,1,0,1,4,8,204,1,0,0
24,1,0,1,218,1,0,1,4,8,126,2,0,0
39,10,1,2,982,1,0,1,4,8,65,1,0,0
24,1,1,0,598,1,0,1,4,8,107,1,0,0
33,0,1,2,721,1,0,1,4,8,267,1,0,0
39,6,1,2,401,1,0,1,4,8,248,1,0,0
18,8,2,2,252,1,0,1,4,8,215,1,0,0
35,8,1,0,447,1,0,1,4,8,209,1,0,0
32,10,1,2,1424,1,0,1,4,8,205,1,0,0
36,4,1,3,503,1,0,1,4,8,83,1,0,0
37,1,1,2,279,1,0,1,4,8,106,2,0,0
26,1,1,2,319,1,1,1,4,8,189,1,0,0
25,4,1,0,190,1,0,1,4,8,105,1,0,0
38,0,1,2,543,1,0,1,4,8,106,1,0,0
36,10,1,0,1041,1,0,1,4,8,108,1,0,0
37,8,0,1,286,1,1,1,4,8,311,1,0,0
19,8,0,2,588,1,1,1,4,8,214,1,0,0
15,0,2,3,383,0,0,1,4,8,132,1,0,0
18,1,1,2,729,1,1,1,4,8,453,1,0,0
33,10,2,2,190,1,0,1,4,8,364,1,0,0
22,6,2,1,190,0,0,1,4,8,136,1,0,0
24,1,1,2,680,1,0,1,4,8,386,1,0,0
33,1,1,2,190,1,0,1,4,8,173,1,0,0
31,1,1,0,593,1,0,1,4,8,241,1,0,0
30,4,1,2,351,1,0,1,4,8,224,2,0,0
14,10,0,3,2692,0,0,1,4,8,148,1,0,0
13,0,2,2,288,1,0,1,4,8,196,1,0,0
37,4,2,3,305,0,0,1,4,8,111,3,0,0
22,1,2,2,626,1,0,1,4,8,231,2,0,0
29,10,1,3,1021,1,0,1,4,8,316,2,0,0
39,10,1,0,396,1,0,1,4,8,216,2,0,0
23,1,1,2,480,1,0,1,4,8,240,1,0,0
30,1,1,2,191,0,0,1,4,8,669,2,0,0
24,1,1,0,247,1,0,1,4,8,425,1,0,0
40,4,2,3,1577,1,0,1,4,8,174,4,0,0
31,1,1,2,220,1,0,1,4,8,135,3,0,0
24,0,2,2,1212,1,0,1,4,8,146,1,0,0
35,10,1,2,246,1,1,1,4,8,152,1,0,0
33,0,2,2,188,0,0,1,4,8,402,2,0,0
14,8,2,2,311,1,0,1,4,8,213,1,0,0
23,1,2,2,1032,1,0,1,4,8,144,2,0,0
25,4,0,2,883,1,0,1,4,8,124,2,0,0
32,1,1,1,1721,1,0,1,4,8,325,1,0,0
16,4,1,3,236,1,0,1,4,8,39,3,0,0
35,8,1,0,208,0,0,1,4,8,503,1,0,0
27,10,1,2,234,1,0,1,4,8,95,3,0,0
21,1,1,1,90,1,0,1,4,8,680,1,0,0
26,8,1,3,700,1,0,1,4,8,421,3,0,0
37,4,1,3,875,1,0,1,4,8,174,2,0,0
28,4,2,3,377,1,0,1,4,8,113,1,0,0
27,1,1,2,256,1,0,1,4,8,808,1,0,0
16,0,1,2,750,1,0,1,4,8,198,2,0,0
18,1,1,2,190,1,0,1,4,8,195,1,0,0
41,5,0,0,217,0,0,1,4,8,347,2,0,0
13,0,2,2,202,1,0,1,4,8,208,1,0,0
26,1,2,2,224,1,0,1,4,8,404,3,0,0
15,2,2,3,1258,1,0,1,4,8,396,1,0,0
22,1,1,2,401,1,0,1,4,8,216,3,0,0
28,0,2,3,567,1,0,1,4,8,98,1,0,0
30,4,1,3,453,1,0,1,4,8,350,1,0,0
24,8,1,2,1453,1,0,1,5,8,114,1,0,0
9,8,1,2,198,1,0,1,5,8,88,2,0,0
30,0,1,2,316,1,1,1,5,8,379,1,0,0
41,0,1,2,420,1,0,1,5,8,190,2,0,0
28,10,1,3,1031,1,0,1,5,8,158,0,0,0
20,0,0,2,498,1,0,1,5,8,102,0,0,0
25,4,0,3,191,1,0,1,5,8,306,0,0,0
20,0,0,3,276,1,0,1,5,8,218,0,0,0
5,9,2,2,347,1,0,1,5,8,54,0,0,0
16,8,1,2,212,1,0,1,5,8,344,0,0,0
20,0,1,2,236,1,1,1,5,8,195,0,0,0
19,1,1,2,1483,0,0,1,5,8,652,0,0,0
7,0,2,2,312,1,0,1,5,8,286,0,0,0
30,1,1,0,321,1,0,1,5,8,189,0,0,0
31,1,2,2,333,1,0,1,5,8,83,0,0,0
20,0,2,2,583,0,0,1,5,8,184,1,0,0
25,1,1,1,288,1,0,1,5,8,235,0,0,0
15,4,1,3,190,1,0,1,5,8,290,0,0,0
37,1,1,2,414,1,0,1,5,8,232,0,0,0
20,1,1,2,947,1,0,1,5,8,133,0,0,0
31,8,1,2,435,1,1,1,5,8,318,0,0,0
25,0,1,0,540,0,0,1,5,8,437,0,0,0
20,1,1,2,210,1,0,1,5,8,402,0,0,0
40,8,1,2,1852,1,1,1,5,8,85,0,0,0
39,10,1,0,535,1,0,1,5,8,125,0,0,0
14,11,1,2,200,1,0,1,5,8,501,3,0,0
38,4,1,3,1020,1,1,1,5,8,1170,0,0,1
40,1,0,0,219,1,0,1,5,8,253,0,0,0
42,6,0,2,735,1,0,1,5,8,1021,0,0,1
28,10,0,3,667,1,0,1,5,8,114,0,0,0
9,0,1,2,194,1,0,1,5,8,243,0,0,0
25,1,1,2,1395,1,0,1,5,8,769,1,0,0
14,10,2,2,190,1,1,1,5,8,135,2,0,0
22,0,2,2,453,1,0,1,5,8,231,0,0,0
20,0,1,2,191,0,0,1,5,8,76,0,0,0
16,1,1,2,473,0,1,1,5,8,199,0,0,0
29,1,1,1,396,1,0,1,5,8,152,0,0,0
24,3,1,1,207,1,0,1,5,8,124,0,0,0
30,10,1,2,331,1,1,1,5,8,424,0,0,0
11,7,2,3,206,1,0,1,5,8,43,0,0,0
32,8,1,2,396,1,0,1,5,8,154,0,0,0
34,10,1,0,197,0,0,1,5,8,203,1,0,0
32,4,1,3,190,0,0,1,5,8,326,0,0,0
40,6,1,3,190,0,0,1,5,8,393,0,0,0
28,1,0,1,2105,1,0,1,5,8,241,2,0,0
20,10,1,2,474,1,0,1,5,8,483,0,0,0
28,1,1,2,1845,1,0,1,5,8,259,0,0,0
14,8,2,2,596,1,0,1,5,8,227,0,0,0
33,1,1,1,420,1,0,1,5,8,673,0,0,0
21,0,2,2,165,1,0,1,5,8,576,0,0,0
30,0,1,2,372,1,0,1,5,8,180,1,0,0
18,2,1,3,1359,1,0,1,5,8,168,1,0,0
16,0,0,2,257,1,0,1,5,8,90,0,0,0
22,10,1,2,267,0,0,1,5,8,505,0,0,0
25,11,1,2,190,1,0,1,5,8,245,0,0,0
34,1,0,1,245,1,1,1,5,8,186,0,0,0
15,10,1,2,262,1,0,1,5,8,623,0,0,0
31,4,2,3,353,1,0,1,5,8,496,2,0,0
14,4,2,3,341,1,0,1,5,8,118,0,0,0
21,0,2,2,303,1,0,1,5,8,342,0,0,0
22,1,1,2,190,1,0,1,5,8,225,0,0,0
20,10,2,3,199,1,0,1,5,8,185,2,0,0
25,4,1,2,565,1,0,1,5,8,196,1,0,0
21,8,1,2,1332,1,0,1,5,8,276,0,0,0
36,1,1,1,2270,1,0,1,5,8,76,0,0,0
20,10,2,3,4022,1,0,1,5,8,87,0,0,0
22,1,1,2,407,1,0,1,5,8,195,0,0,0
37,0,1,2,321,1,0,1,5,8,744,0,0,0
24,4,1,3,1864,1,0,1,5,8,765,0,0,0
21,1,1,2,190,1,0,1,5,8,262,0,0,0
22,1,1,1,236,1,0,1,5,8,119,0,0,0
14,1,1,2,510,1,0,1,5,8,198,1,0,0
37,0,1,2,373,1,0,1,5,8,150,0,0,0
27,1,1,2,229,0,0,1,5,8,241,0,0,0
17,4,2,3,750,1,0,1,5,8,181,0,0,0
40,10,0,2,659,0,0,1,5,8,196,0,0,0
17,0,1,2,720,1,0,1,5,8,149,0,0,0
31,8,1,1,251,1,0,1,5,8,246,0,0,0
16,10,2,3,432,1,0,1,5,8,112,0,0,0
18,1,1,2,329,1,0,1,5,8,309,1,0,0
6,7,2,2,190,1,0,1,5,8,278,0,0,0
16,10,1,2,557,1,0,1,5,8,140,0,0,0
33,0,0,2,418,1,0,1,5,8,136,0,0,0
32,7,1,0,106,1,0,1,5,8,101,0,0,0
14,8,2,2,500,1,0,1,5,8,144,0,0,0
24,1,1,0,322,1,0,1,5,8,238,0,0,0
32,10,1,2,987,1,0,1,5,8,354,0,0,0
22,8,1,2,261,0,0,1,5,8,79,0,0,0
28,4,0,0,192,1,0,1,5,8,187,0,0,0
19,4,1,3,421,1,1,1,5,8,451,1,0,0
16,1,1,2,460,1,1,1,5,8,159,0,0,0
26,1,1,2,464,1,1,1,5,8,409,0,0,0
22,0,2,2,81,1,1,1,5,8,170,0,0,0
19,10,1,2,191,1,0,1,5,8,608,0,0,1
15,1,2,2,130,0,0,1,5,8,243,0,0,0
17,1,1,2,279,1,0,1,5,8,145,1,0,0
40,1,0,2,179,0,0,1,5,8,112,0,0,0
21,1,1,1,190,1,0,1,5,8,262,1,0,0
21,11,1,1,598,1,0,1,5,8,53,0,0,0
18,8,2,1,248,1,0,1,5,8,134,0,0,0
39,6,2,2,1827,0,1,1,5,8,204,3,0,0
18,0,2,2,210,1,0,1,5,8,186,0,0,0
32,1,1,1,261,1,0,1,5,8,678,0,0,0
37,1,1,2,242,1,0,1,5,8,182,0,0,0
26,7,1,3,482,1,0,1,5,8,162,0,0,0
26,8,0,2,614,1,0,1,5,8,27,0,0,0
21,3,2,1,299,1,0,1,5,8,699,2,0,0
28,1,1,0,1234,1,0,1,5,8,43,0,0,0
21,1,1,2,1173,1,0,1,5,8,97,0,0,0
16,0,1,2,1059,0,0,1,5,8,1420,0,0,1
22,1,1,1,858,1,0,1,5,8,283,1,0,0
32,4,1,3,1154,1,0,1,5,8,323,0,0,0
13,4,2,2,491,1,0,1,5,8,82,0,0,0
19,0,2,2,330,1,0,1,5,8,310,0,0,0
21,4,2,2,2055,1,0,1,5,8,185,0,0,0
33,1,1,1,1317,1,0,1,5,8,47,0,0,0
23,10,1,2,1061,1,0,1,5,8,145,0,0,0
23,10,1,2,957,1,1,1,5,8,204,0,0,0
25,1,1,2,190,0,0,1,5,8,187,0,0,0
12,8,2,2,399,1,0,1,5,8,30,1,0,0
36,4,0,1,190,0,0,1,5,8,472,0,0,0
25,1,0,2,300,1,1,1,5,8,448,0,0,0
41,4,0,3,114,1,1,1,5,8,264,0,0,0
29,10,1,0,368,1,0,1,5,8,169,0,0,0
22,1,1,1,124,1,0,1,5,8,288,0,0,0
14,10,1,2,190,1,0,1,5,8,176,1,0,0
11,1,1,2,191,1,0,1,5,8,215,0,0,0
18,1,1,2,190,1,0,1,5,8,337,0,0,0
37,11,1,3,4585,0,0,1,5,8,278,0,0,0
21,0,2,2,190,1,0,1,5,8,174,1,0,0
21,1,0,2,232,1,0,1,5,8,226,1,0,0
32,1,0,2,231,1,0,1,5,8,190,0,0,0
26,1,1,2,91,1,0,1,5,8,111,1,0,0
19,10,2,2,207,1,0,1,5,8,164,0,0,0
28,0,1,1,466,1,1,1,5,8,157,1,0,0
14,10,2,0,20,0,0,1,5,8,46,0,0,0
19,4,2,3,420,1,1,1,5,8,374,0,0,0
11,1,1,2,199,1,0,1,5,8,349,0,0,0
23,1,1,2,1136,1,0,1,5,8,325,0,0,0
27,1,1,1,1487,1,0,1,5,8,233,1,0,0
30,1,2,2,234,1,0,1,5,8,153,0,0,0
42,6,1,2,205,0,0,1,5,8,80,0,0,0
8,0,2,2,902,1,0,1,5,8,232,0,0,0
40,6,1,2,4621,1,0,1,5,8,118,0,0,0
16,0,1,2,697,1,0,1,5,8,190,0,0,0
37,11,0,2,577,1,0,1,5,8,914,0,0,1
23,1,1,1,190,1,1,1,5,8,238,0,0,0
32,4,0,2,1900,1,0,1,5,8,82,0,0,0
